ID,Päring,Filtrid,Target_code,Expected unique_ID (top_codes),Tulemus (PASS/FAIL),Märkus
R001,Milline kursus õpetab b7c24053-5d5e-7a18-44c2-8ca5047de176 ning sisaldab ka andmed ja süsteemid? Lisa lühike põhjendus.,"credits=6, semester=spring, language=et, level=ANY",SVUH.00.267,"SVUH.00.267, SVJS.00.094, LTOM.03.008, MTMS.02.059, KKSP.04.030",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R002,"Mul on huvi d6d05e46-8ca2-8d6a-3329-b82476787db5 vastu, aga tahan siduda selle andmed ja süsteemid rakendustega. Soovita sobiv kursus.","credits=6, semester=autumn, language=et, level=bachelor",MTMM.00.342,"MTMM.00.342, LOTI.05.022, LOOM.03.122, HVKU.03.058, MJCV.00.005",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R003,Milline kursus õpetab bbdcd728-3d14-2b47-14d6-f8af948768b4 ning sisaldab ka andmed ja süsteemid? Lisa lühike põhjendus.,"credits=3, semester=autumn, language=et, level=bachelor",MJ00.00.012,"MJ00.00.012, LOKT.04.023, KKSP.02.051, LOMR.06.004, LOOM.02.006",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R004,"Soovita kursust, mis aitab mul õppida eb76d459-3ebf-1fec-a0eb-17ffd7a92eb3 ja andmed. Tahaks, et oleks praktiline ja kataks ka süsteemid.","credits=1, semester=autumn, language=et, level=ANY",SVPH.00.072,"SVPH.00.072, ARFA.02.081, MVFA.00.019, ARNH.01.030, MVCM.03.002",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R005,"Soovita kursust, mis aitab mul õppida 3d7e2084-33ef-029d-83af-be47341099cc ja andmed. Tahaks, et oleks praktiline ja kataks ka süsteemid.","credits=5, semester=spring, language=et, level=ANY",HVVK.04.060,"HVVK.04.060, ARFA.02.060, ARST.01.115, HVVK.02.073, ARPO.00.020",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R006,"Mul on huvi a25cae78-1abe-30ce-0fae-5d107ef7adbf vastu, aga tahan siduda selle andmed ja süsteemid rakendustega. Soovita sobiv kursus.","credits=3, semester=autumn, language=et, level=ANY",USUS.01.071,"USUS.01.071, LTKT.06.018, P2OG.01.061, HVUS.00.021, LOKT.03.004",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R007,"Otsin ainet teemadel 46d7058b-ec8f-ddf6-8b93-f4ce6e00ebde, andmed ja süsteemid. Mis kursus seda kõige paremini katab?","credits=3, semester=autumn, language=et, level=bachelor",MTMS.01.093,"MTMS.01.093, LOMR.06.004, LOOM.02.143, LOOM.02.006, ARTH.05.008",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R008,"Soovita kursust, mis aitab mul õppida 2654c5e0-8aa2-b721-825b-f870719d9610 ja andmed. Tahaks, et oleks praktiline ja kataks ka süsteemid.","credits=6, semester=spring, language=et, level=ANY",MTMM.00.005,"MTMM.00.005, SVJS.00.094, LTOM.03.008, USUS.02.085, HVLC.03.010",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R009,"Soovita kursust, mis aitab mul õppida 781e6c09-e9dd-58f0-beec-5a80a37b4aeb ja andmed. Tahaks, et oleks praktiline ja kataks ka süsteemid.","credits=6, semester=spring, language=en, level=ANY",P2OG.02.215,"P2OG.02.215, LTAT.02.004, SVNC.00.308, SHRG.03.028, FLFI.04.105",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R010,"Otsin ainet teemadel 54165b3c-ff6f-3cfd-0822-4a591065928a, andmed ja süsteemid. Mis kursus seda kõige paremini katab?","credits=6, semester=autumn, language=et, level=doctoral",LTFY.01.018,"LTFY.01.018, HVLC.03.010, USUS.06.134, HVLC.05.020, SVHI.01.070",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
